Заголовок,Ссылка
Мужчина втайне от жены завел ребенка от суррогатной матери,https://lenta.ru//news/2024/04/01/muzhchina-vtayne-ot-zheny-zavel-rebenka-ot-surrogatnoy-materi/
"«Удары, каких еще не было». В Британии рассказали о самом мощном ударе Российской армии по ВСУ за все время спецоперации",https://lenta.ru//news/2024/04/01/udary-kakih-esche-ne-bylo-v-britanii-rasskazali-o-samom-moschnom-udare-rossiyskoy-armii-po-vsu-za-vse-vremya-spetsoperatsii/
Россия отследила место сборки украинской «Бабы-Яги». Где создавали и использовали эти дроны до попадания на фронт?,https://lenta.ru//news/2024/04/01/rossiya-otsledila-mesto-sborki-ukrainskoy-baby-yagi-gde-sozdavali-i-ispolzovali-eti-drony-do-popadaniya-na-front/
Украинская разведка назвала железную дорогу от Ростова до Крыма серьезной проблемой. Чего опасается Киев?,https://lenta.ru//news/2024/04/01/ukrainskaya-razvedka-nazvala-zheleznuyu-dorogu-ot-rostova-do-kryma-serieznoy-problemoy-chego-opasaetsya-kiev/
"Активы зятя, матери и родственников. Арестованы счета по делу об изъятии имущества «Макфы» на 100 триллионов рублей",https://lenta.ru//news/2024/04/01/aktivy-zyatya-materi-i-rodstvennikov-arestovany-scheta-po-delu-ob-iz-yatii-imuschestva-makfy-na-100-trillionov-rubley/
«Проанализируем объективно и самокритично». Эрдоган признал поражение его партии на муниципальных выборах в Турции,https://lenta.ru//news/2024/04/01/proanaliziruem-ob-ektivno-i-samokritichno-erdogan-priznal-porazhenie-ego-partii-na-munitsipalnyh-vyborah-v-turtsii/
"Назван командующий Ленинградским военным округом. Кто такой генерал-полковник Лапин, и за что его критиковал Кадыров?",https://lenta.ru//news/2024/04/01/nazvan-komanduyuschiy-leningradskim-voennym-okrugom-kto-takoy-general-polkovnik-lapin-i-za-chto-ego-kritikoval-kadyrov/
Раскрыты неожиданные способы предотвратить старческое слабоумие,https://lenta.ru//news/2024/04/01/raskryty-neozhidannye-sposoby-predotvratit-starcheskoe-slaboumie/
Озверевшие мыши захватили целый остров. Они заживо пожирают огромных птиц и шокируют ученых своей жестокостью,https://lenta.ru//news/2024/03/28/mice/
«Целый год без бухла». Журналистка 20 лет сидела на наркотиках и алкоголе. Как ей удалось бросить и прославиться?,https://lenta.ru//extlink/2024/03/31/tselyy-god-bez-buhla-zhurnalistka-20-let-sidela-na-narkotikah-i-alkogole-kak-ey-udalos-brosit-i-proslavitsya/?intlnk=true
Богатейшие люди лишают родных наследства и завещают миллионы чужим людям. Зачем они это делают?,https://lenta.ru//news/2024/03/29/nonasledstvo/
"«Адекватнее Сталина». Берия придумал план, как взять власть в СССР в свои руки. Кто помешал ему это сделать?",https://lenta.ru//extlink/2024/03/30/adekvatnee-stalina-beriya-pridumal-plan-kak-vzyat-vlast-v-sssr-v-svoi-ruki-kto-pomeshal-emu-eto-sdelat/?intlnk=true
Люди по всему миру полюбили кино про настоящих героев: что смотреть после триумфального «Оппенгеймера»?,https://lenta.ru//extlink/2024/03/28/top/?intlnk=true
"Кейт Миддлтон призналась, что больна раком. Почему она столько времени скрывала диагноз и что теперь с ней будет?",https://lenta.ru//news/2024/03/25/kate/
На пепелище Третьего рейха. Как выглядели немецкие города после бомбежек: уникальные снимки Второй мировой войны,https://lenta.ru//extlink/2024/03/28/na-pepelische-tretiego-reyha-kak-vyglyadeli-nemetskie-goroda-posle-bombezhek-unikalnye-snimki-vtoroy-mirovoy-voyny/?intlnk=true
«Они без ума от нашей еды». По всему миру скупают русские продукты. Почему иностранцы не могут без них жить?,https://lenta.ru//news/2024/03/13/kitaytsy-bez-uma-ot-nashey-edy-kakie-rossiyskie-produkty-mozhno-nayti-za-granitsey-i-chto-osobenno-polyubili-inostrantsy/
Легендарная советская разведчица внедрилась в ООН. Как она раскрывала тайны Запада и 20 лет обманывала агентов ФБР?,https://lenta.ru//extlink/2024/03/28/legendarnaya-sovetskaya-razvedchitsa-vnedrilas-v-oon-kak-ona-raskryvala-tayny-zapada-i-20-let-obmanyvala-agentov-fbr/?intlnk=true
Путин поручил резко сократить выбросы в городах с грязным воздухом,https://lenta.ru//news/2024/04/01/putin-poruchil-rezko-sokratit-vybrosy-v-gorodah-s-gryaznym-vozduhom/
СБУ предъявила обвинения Симоньян,https://lenta.ru//news/2024/04/01/sbu-pred-yavila-obvineniya-simonyan/
Пассажирский автобус вспыхнул около российского города и попал на видео,https://lenta.ru//news/2024/04/01/passazhirskiy-avtobus-vspyhnul-okolo-rossiyskogo-goroda-i-popal-na-video/
В СВР сообщили о быстрой попытке США снять вину с Киева после теракта,https://lenta.ru//news/2024/04/01/v-svr-soobschili-o-bystroy-popytke-ssha-snyat-vinu-s-kieva-posle-terakta-v-krokuse/
Стилистка назвала россиянкам устаревшие модели кроссовок,https://lenta.ru//news/2024/04/01/stilistka-nazvala-rossiyankam-ustarevshie-modeli-krossovok/
Один тип жилья в Москве подешевел,https://lenta.ru//news/2024/04/01/odin-tip-zhilya-v-moskve-podeshevel/
Россияне стали чаще покупать автомобили в кредит,https://lenta.ru//news/2024/04/01/rossiyane-stali-chasche-pokupat-avtomobili-v-kredit/
Мэр Харькова потребовал миллиарды долларов на восстановление города,https://lenta.ru//news/2024/04/01/mer-harkova-potreboval-milliardy-dollarov-na-vosstanovlenie-goroda/
Американские военные прибыли в Молдавию,https://lenta.ru//news/2024/04/01/amerikanskie-voennye-pribyli-v-moldaviyu/
Россиянам назвали подешевевшие в марте автомобили,https://lenta.ru//news/2024/04/01/rossiyanam-nazvali-podeshevevshie-v-marte-avtomobili/
Губернатор сообщил о выезде жителей из приграничного поселка из-за атак ВСУ,https://lenta.ru//news/2024/04/01/gubernator-soobschil-o-vyezde/
Раскрыты неожиданные способы предотвратить старческое слабоумие,https://lenta.ru//news/2024/04/01/raskryty-neozhidannye-sposoby-predotvratit-starcheskoe-slaboumie/
Начата проверка по обращению депутатов о причастности Запада к терактам в России,https://lenta.ru//news/2024/04/01/cledkommmmm/
Часть раненных во время теракта спасла вентиляция в «Крокусе»,https://lenta.ru//news/2024/04/01/chast-ranennyh-vo-vremya-terakta-spasla-ventilyatsiya-v-krokuse/
В Киргизии назвали число выдворенных из России после теракта в «Крокусе» граждан,https://lenta.ru//news/2024/04/01/v-kirgizii-nazvali-chislo-vydvorennyh-iz-rossii-posle-terakta-v-krokuse-grazhdan/
Вложения России в экономику Белоруссии резко выросли,https://lenta.ru//news/2024/04/01/vlozheniya-rossii-v-ekonomiku-belorussii-rezko-vyrosli/
Раскрыта опасность соли для жизни,https://lenta.ru//news/2024/04/01/salt/
В России ответили на признание Эстонии в присутствии сил НАТО на Украине,https://lenta.ru//news/2024/04/01/v-rossii-otvetili-na-priznanie-estonii-v-prisutstvii-sil-nato-na-ukraine/
Турист из КНР попытался вывезти из России звериные клыки в термосе и попался,https://lenta.ru//news/2024/04/01/turist-iz-knr-popytalsya-vyvezti-iz-rossii-zverinye-klyki-v-termose-i-popalsya/
На Украине назвали завышенные ожидания проблемой для вступления в ЕС,https://lenta.ru//news/2024/04/01/na-ukraine-nazvali-zavyshennye-ozhidaniya-problemoy-dlya-vstupleniya-v-es/
В России заявили о «плохо продаваемой» риторике США по теракту в «Крокусе»,https://lenta.ru//news/2024/04/01/v-rossii-zayavili-o-ploho-prodavaemoy-ritorike-ssha-po-teraktu-v-krokuse/
Признание бандита в снабжении оружием террористов попало на видео,https://lenta.ru//news/2024/04/01/videofcb4/
В СВР сравнили теракт в «Крокусе» с ракетными обстрелами и атаками диверсантов,https://lenta.ru//news/2024/04/01/v-svr-sravnili-terakt-v-krokuse-s-raketnymi-obstrelami-i-atakami-diversantov/
США назвали главными выигравшими от ограничений добычи нефти ОПЕК+,https://lenta.ru//news/2024/04/01/win/
Путин поручил снизить уровень бедности в России,https://lenta.ru//news/2024/04/01/putin-poruchil-snizit-uroven-bednosti-v-rossii/
В Казахстане предотвратили теракт,https://lenta.ru//news/2024/04/01/v-kazahstane-predotvratili-terakt/
Девушка купила браслет в секонд-хенде и удивила подписчиков ценной находкой,https://lenta.ru//news/2024/04/01/devushka-kupila-braslet-v-sekond-hende-i-udivila-podpischikov-tsennoy-nahodkoy/
Мужчине попалась игла в купленном в кондитерской десерте,https://lenta.ru//news/2024/04/01/muzhchine-popalas-igla-v-kuplennom-v-konditerskoy-deserte/
Звезда телешоу рассказала о своем состоянии после перелома позвоночника,https://lenta.ru//news/2024/04/01/perelom/
Названы последствия завершения президентского срока Зеленского,https://lenta.ru//news/2024/04/01/zaversheniya-sroka-zelenskogo/
Число не готовых к уступкам ради мира украинцев сократилось,https://lenta.ru//news/2024/04/01/menee-treti-ukraintsev-okazalis-ne-gotovy-k-ustupkam-radi-mira/
Путин поручил продлить льготную ипотеку,https://lenta.ru//news/2024/04/01/putin-poruchil-prodlit-lgotnuyu-ipoteku/
Двое сотрудников Ростехнадзора задержаны из-за ЧП на руднике «Пионер»,https://lenta.ru//news/2024/04/01/dvoe-sotrudnikov-rostehnadzora-zaderzhany-iz-za/
Реванш Емельяненко и Дацика отменили,https://lenta.ru//news/2024/04/01/revansh-emelyanenko-i-datsika-otmenili/
Пилотов российского самолета попытались ослепить лазером,https://lenta.ru//news/2024/04/01/pilotov-rossiyskogo-samoleta-popytalis-oslepit-lazerom/
Обнаружена новая катастрофическая звезда,https://lenta.ru//news/2024/04/01/variable/
Готовившие теракт в Махачкале прятались в квартире у российского политика,https://lenta.ru//news/2024/04/01/gotovivshie-terakt-v-mahachkale-pryatalis-v-kvartire-u-rossiyskogo-politika/
Кети Топурия отреагировала на слухи о третьей беременности,https://lenta.ru//news/2024/04/01/keti-topuriya-otreagirovala-na-sluhi-o-tretiey-beremennosti/
Российские военные нанесли удар по базе иностранных наемников ВСУ,https://lenta.ru//news/2024/04/01/rossiyskie-voennye-nanesli-udar-po-baze-inostrannyh-naemnikov-vsu/
Большая часть украинцев отнеслась с пониманием к уклонистам,https://lenta.ru//news/2024/04/01/bolshaya-chast-ukraintsev-vyrazili-soperezhivanie-uklonistam/
Бородина пожаловалась на капризное поведение Седоковой,https://lenta.ru//news/2024/04/01/borodina-pozhalovalas-na-kapriznoe-povedenie-sedokovoy/
Большинство украинцев поддержали возвращение ядерного статуса страны,https://lenta.ru//news/2024/04/01/bolshinstvo-ukraintsev-podderzhali-vozvraschenie-yadernogo-statusa-strany/
Задержание ФСБ боевиков в Дагестане попало на видео,https://lenta.ru//news/2024/04/01/videofcbbb/
Эффективность российского агробизнеса оценили,https://lenta.ru//news/2024/04/01/rossiyskie-agrarii-stolknulis-s-serieznoy-problemoy/
В Германии Украине посоветовали сократить линию фронта,https://lenta.ru//news/2024/04/01/v-germanii-ukraine-posovetovali-sokratit-liniyu-fronta/
Бетонный забор упал на семилетнюю девочку в Подмосковье,https://lenta.ru/https://moslenta.ru/news/city/betonnyi-zabor-upal-na-semiletnyuyu-devochku-v-podmoskove-01-04-2024.htm/
В самолете с россиянами на борту сработал сигнал о столкновении с землей,https://lenta.ru//news/2024/04/01/v-samolete-s-rossiyanami-na-bortu-srabotal-signal-o-stolknovenii-s-zemley/
Путин поручил дать возможность проводить газ на дачи,https://lenta.ru//news/2024/04/01/putin-poruchil-dat-vozmozhnost-provodit-gaz-na-dachi/
ФСБ сообщила о предотвращенном теракте в Каспийске,https://lenta.ru//news/2024/04/01/fcb2/
Девушка сбросила 25 килограммов за девять месяцев и поделилась своими секретами,https://lenta.ru//news/2024/04/01/devushka-sbrosila-25-kilogrammov-za-devyat-mesyatsev-i-podelilas-svoimi-sekretami/
В Израиле начались протесты против Нетаньяху,https://lenta.ru//news/2024/04/01/v-izraile-nachalis-protesty-protiv-netanyahu/
В России подготовили законопроект с ужесточением контроля за миграцией,https://lenta.ru//news/2024/04/01/migraziaaa/
Раскрыта связь задержанных в Каспийске боевиков с террористами из «Крокуса»,https://lenta.ru//news/2024/04/01/raskryta-svyaz-zaderzhannyh-v-kaspiyske-boevikov-s-terroristami-iz-krokusa/
Путин поручил сделать российскую экономику четвертой в мире,https://lenta.ru//news/2024/04/01/putin-poruchil-sdelat-rossiyskuyu-ekonomiku-chetvertoy-v-mire/
МИД России прокомментировал информацию о предупреждении Ирана о теракте,https://lenta.ru//news/2024/04/01/mid-rossii-prokommentiroval-informatsiyu-o-preduprezhdenii-iranom-o-terakte/
Мощный взрыв «Газели» в Москве сняли на видео,https://lenta.ru//news/2024/04/01/moschnyy-vzryv-gazeli-v-moskve-snyali-na-video/
Раскрыто влияние гравитационных волн на появление жизни,https://lenta.ru//news/2024/04/01/gravitation/
Назван предмет в ванной комнате с самым большим скоплением бактерий,https://lenta.ru//news/2024/04/01/nazvan-predmet-v-vannoy-komnate-s-samym-bolshim-skopleniem-bakteriy/
Минобороны России сообщило об уничтожении еще одного танка Abrams,https://lenta.ru//news/2024/04/01/minoborony-rossii-soobschilo-ob-unichtozhenii-esche-odnogo-tanka-abrams/
В Швейцарии раскритиковали «формулу мира» Зеленского,https://lenta.ru//news/2024/04/01/v-shveytsarii-raskritikovali-formulu-mira-zelenskogo/
Опубликован список поручений Путина по итогам послания,https://lenta.ru//news/2024/04/01/opublikovan-spisok-porucheniy-putina-po-itogam-poslaniya/
В Армению прибыли военные инструкторы из США,https://lenta.ru//news/2024/04/01/v-armeniyu-pribyli-instruktory-iz-ssha/
Минобороны сообщило об улучшении положения армии России на одном из направлений,https://lenta.ru//news/2024/04/01/minoborony-soobschilo-ob-uluchshenii-polozheniya-armii-rossii-na-odnom-iz-napravleniy/
